"Accuracy Mastery","命中专精"
"Minions have 25% chance to gain Unholy Might for 4 seconds on Kill","击败敌人时，召唤生物有 25% 的几率获得不洁之力 4 秒"
"Minions have 30% increased Area of Effect","召唤生物的效果区域扩大 30%"
"Minions have 20% increased Cooldown Recovery Rate","召唤生物的冷却回复率提高 20%"
"20% increased effect of Offerings","奉献效果提高 20%"
"Minion Defence Mastery","召唤生物防御专精"
"Minions have +8% to all maximum Elemental Resistances","召唤生物获得 +8% 最大全元素抗性"
"Link Skills can target Damageable Minions","羁绊技能能以可受伤的召唤生物为目标"
"Minions Leech 1% of Damage as Life","召唤生物获得 1% 生命偷取"
"Convocation has 40% increased Cooldown Recovery Rate","号召的冷却回复率提高 40%"
"Minions have 15% reduced Life Recovery rate","召唤生物的生命回复率降低 15%"
"Minions have 30% increased maximum Life","召唤生物的最大生命提高 30%"
"Minions Recover 5% of Life on Minion Death","召唤生物被击败时，其它召唤生物回复 5% 生命"
"Poison Mastery","中毒专精"
"Poisons you inflict on non-Poisoned Enemies deal 300% increased Damage","你对非中毒敌人施加的中毒伤害提高 300%"
"Poisons you inflict deal Damage 20% faster","你造成的中毒的伤害生效速度加快 20%"
"+12% to Damage over Time Multiplier for Poison you inflict on Bleeding Enemies","你对流血的敌人施加的中毒+12% 中毒持续伤害加成"
"Enemies Poisoned by you cannot deal Critical Strikes","因你而中毒的敌人不能造成暴击"
"Recover 3% of Life on Killing a Poisoned Enemy","生命在击败中毒的敌人时恢复 3%"
"Plague Bearer has 20% increased Maximum Plague Value","瘟疫使徒的瘟疫值上限提高 20%"
"Reservation Mastery","保留专精"
"8% increased Damage for each of your Aura or Herald Skills affecting you","伤害按照你身上每种影响你的光环或捷提高 8%"
"+1% to all maximum Elemental Resistances if you have Reserved Life and Mana","若你有保留的生命和魔力，所有元素抗性上限 +1%"
"20% increased Life Reservation Efficiency of Skills","技能的生命保留效能提高 20%"
"30% increased Area of Effect of Aura Skills","光环技能范围提高 30%"
"Auras from your Skills have 10% increased Effect on you","你技能的光环在你身上的效果提高 10%"
"Non-Curse Aura Skills have 50% increased Duration","非诅咒光环技能的持续时间延长 50%"
"Shield Mastery","盾牌专精"
"30% chance to Avoid being Stunned while holding a Shield","持盾时有 30% 几率避免被晕眩"
"+1% Chance to Block Attack Damage per 5% Chance to Block on Equipped Shield","攻击伤害格挡率按照已装备的盾牌上每 5% 的格挡率 +1%"
"Intimidate Enemies for 4 seconds on Block while holding a Shield","在持盾牌格挡时威吓敌人 4 秒"
"20% chance to Avoid Elemental Ailments while holding a Shield","持盾时有 20% 几率避免元素异常状态"
"2% increased Attack Damage per 75 Armour or Evasion Rating on Shield","盾牌上每 75 点护甲值或闪避值都使攻击伤害提高 2%"
"+1% to Critical Strike Multiplier per 10 Maximum Energy Shield on Shield","盾牌上每有 10 点最大能量护盾，就 +1% 暴击伤害加成"
"Staff Mastery","长杖专精"
"Recover 2% of Energy Shield when you Block Spell Damage while wielding a Staff","能量护盾在你持握长杖格挡法术伤害时恢复 2%"
"Recover 2% of Life when you Block Attack Damage while wielding a Staff","生命在你持握长杖格挡攻击伤害时恢复 2%"
"30% increased Defences while wielding a Staff","防御在持握长杖时提高 30%"
"+8% Chance to Block Attack Damage if you've Stunned an Enemy Recently","攻击伤害格挡率在你近期内眩晕过敌人的情况下 +8%"
"12% increased maximum Life and Mana if your equipped Staff has a Red and Blue Socket","若你已装备的长杖有红色与蓝色插槽，则最大生命与魔力提高 12%"
"Gain Unholy Might on Block for 3 seconds","格挡时获得不洁之力，持续 3 秒"
"+60% to Critical Strike Multiplier if you haven't dealt a Critical Strike Recently","若你近期内没有打出过暴击，则获得 +60% 暴击伤害加成"
"Sword Mastery","剑类专精"
"+0.3 metres to Melee Strike Range with Swords","剑类近战打击范围 +0.3 米"
"20% chance to Impale Enemies on Hit with Attacks","攻击击中时有 20% 的几率穿刺敌人"
"8% chance to gain a Frenzy Charge when you Hit a Unique Enemy","有 8% 的几率在你击中传奇敌人时获得一个狂怒球"
"Off Hand Accuracy is equal to Main Hand Accuracy while wielding a Sword","副手命中值在持握剑类时等于主手命中值"
"120% increased Critical Strike Chance with Swords","剑类攻击的暴击率提高 120%"
"-20% to Critical Strike Multiplier with Swords","剑类攻击 -20% 暴击伤害加成"
"50% reduced Enemy Chance to Block Sword Attacks","敌人对剑类攻击的格挡率降低 50%"
"Totem Mastery","图腾专精"
"Totems' Action Speed cannot be modified to below Base Value","图腾的行动速度无法被减速至基础值以下"
"Skills that Summon a Totem have 30% chance to Summon two Totems instead of one","可以召唤一个图腾的技能有 30% 的几率改为召唤两个图腾"
"5% of Damage from Hits is taken from your nearest Totem's Life before you","有 5% 被击中的伤害优先由你的图腾承受"
"1% of Physical Attack Damage dealt by your Totems is Leeched to you as Life","你的图腾造成物理攻击伤害的 1% 转化为你的生命偷取"
"40% increased Critical Strike Chance if you've Summoned a Totem Recently","若你近期内召唤过图腾，则暴击几率提高 40%"
"Totems Taunt Enemies around them for 1 seconds when Summoned","图腾被召唤时嘲讽周围敌人 1 秒"
"Trap Mastery","陷阱专精"
"5% chance to throw up to 4 additional Traps","有 5% 的几率投掷 4 个额外陷阱"
"8% Chance for Traps to Trigger an additional time","陷阱有 8% 的几率额外触发一次"
"Can have up to 5 additional Traps placed at a time","同时可以放置最多 5 个额外陷阱"
"60% increased Trap Trigger Area of Effect","陷阱触发范围扩大 60%"
"Recover 30 Life when your Trap is triggered by an Enemy","你的陷阱被敌人触发时回复 30 生命"
"Traps cannot be Damaged","陷阱不会受到伤害"
"Two Hand Mastery","双手武器专精"
"Wand Mastery","法杖专精"
"10% chance to gain a Power Charge on Critical Strike with Wands","有 10% 的几率在用法杖暴击时获得一个暴击球"
"25% increased Mana Reservation Efficiency of Skills Supported by Spellslinger","被法术节魔辅助的技能的魔力保留效能提高 25%"
"Wand Attacks fire an additional Projectile","法杖攻击发射一枚额外投射物"
"Attacks have 100% Arcane Might while wielding a Wand","持握法杖时，攻击带有 100% 奥术之力"
"0.5% of Attack Damage Leeched as Life","攻击伤害的 0.5% 转化为生命偷取"
"0.5% of Attack Damage Leeched as Mana","攻击伤害的 0.5% 转化为魔力偷取"
"Intelligence is added to Accuracy Rating with Wands","智慧可以为法杖命中值提供加值"
"Warcry Mastery","战吼专精"
"Warcries cannot Exert Travel Skills","战吼技能不能增助旅行技能"
"Recover 15% of Life when you use a Warcry","你使用战吼时回复 15% 生命"
"Warcries have a minimum of 10 Power","战吼至少有 10 点威力值"
"Warcries Debilitate Enemies for 1 second","战吼使敌人疲惫1秒"
"Remove all Damaging Ailments when you Warcry","当你战吼时，移除所有伤害性异常状态"
"Warcries have 10% chance to Exert 3 additional Attacks","战吼有 10% 的几率额外增助 3 次攻击"
"Attributes Mastery","属性专精"
"5% increased Attributes","所有属性提高 5%"
"1% increased Damage per 5 of your lowest Attribute","你最低的属性每有 5 点，伤害提高 1%"
"+5 to Strength per Allocated Mastery Passive Skill","力量按照配置的每个专精天赋 +5"
"+5 to Intelligence per Allocated Mastery Passive Skill","智慧按照配置的每个专精天赋 +5"
"+5 to Dexterity per Allocated Mastery Passive Skill","敏捷按照配置的每个专精天赋 +5"
"Protection Mastery","防护专精"
"Prevent +50% of Reflected Damage","Prevent +50% of Reflected Damage"
"Your Elemental Resistances cannot be lowered by Curses","你的元素抗性无法被诅咒降低"
"Corrupted Blood cannot be inflicted on you","腐化之血无法施加于你"
"You cannot be Maimed","你无法被瘫痪"
"You cannot be Hindered","你无法被缓速"
"You cannot be Impaled","你不能被穿刺"
"Damaging Ailments Cannot Be inflicted on you while you already have one","你已经受到伤害异常状态时不会再受到伤害异常状态"
"Non-Damaging Ailments Cannot Be inflicted on you while you already have one","你已经受到非伤害异常状态时不会再受到非伤害异常状态"
"Banner Mastery","旗帜专精"
"Enemies near your Banner are Maimed","旗帜周围的敌人被瘫痪"
"Gain 5 Valour when you Warcry, if able","战吼时如果可能，获得 5 点胆魄"
"Remove a random Ailment on you when you consume at least 10 Valour to place a Banner","为放置旗帜消耗至少 10 点胆魄时，为你移除一个随机异常状态"
"Recover 3% of Life per 5 Valour consumed to place a Banner","放置旗帜时，每消耗 5 点胆魄便恢复 3% 的生命"
"Enemies near your Banner take 8% increased Damage","旗帜周围的敌人受到的伤害提高 8%"
"Rage Mastery","怒火专精"
"Every Rage also grants 1% increased Stun Threshold","每一点怒火还会使晕眩阈值提高 1%"
"1% increased Movement Speed per 5 Rage","每 5 点怒火使移动速度提高 1%"
"+7 to Maximum Rage","怒火上限 +7"
"Inherent loss of Rage is 20% faster","怒火固有损耗加快 20%"
"Warcries grant 1 Rage per 5 Enemy Power, up to 5","战吼使每 5 点敌人威力值产生 1 点怒火，最多 5 点"
"25% increased Maximum total Life Recovery per second from Leech while at maximum Rage","达到怒火上限时，偷取中获得的每秒最大总恢复量提高 25%"
"Nearby Enemies are Intimidated while you have Rage","当你拥有怒火时，周围敌人受到威吓"
"Tincture Mastery","酊剂专精"
"Retaliation Mastery","反击专精"
"80% increased Duration of Ailments inflicted by Retaliation Skills","反击技能造成的异常状态持续时间延长 80%"
"Retaliation Skills Debilitate Enemies for 3 seconds on Hit","反击技能击中时使敌人疲惫 3 秒"
"20% increased Armour for each different Retaliation Skill you've used in the past 10 seconds","你在过去 10 秒内每使用过一个不同的反击技能，护甲提高 20%"
"10% chance when you use a Retaliation Skill for a different Retaliation Skill to become Usable","使用反击技能时有 10% 的几率使另一个反击技能可以使用"
"100% increased Cost Efficiency of Retaliation Skills","反击技能的消耗效率提高 100%"
