"Deal 1% more Damage with Hits and Ailments to Rare and Unique Enemies for each second they've ever been in your Presence, up to a maximum of 100%","稀有和传奇怪物每在场一秒，对其造成的击中和异常状态伤害总增 1%，最多 100%"
"Deal 1% more Damage with Hits and Ailments to Rare and Unique Enemies for every 2 seconds they've ever been in your Presence, up to a maximum of 50%","稀有和传奇怪物每在场 2 秒，对其造成的击中和异常状态伤害总增 1%，最多 50%"
"Deal 10% less Damage","造成的伤害总降 10%"
"Deal up to 15% more Melee Damage to Enemies, based on proximity","基于距离对敌人的总近战伤害最多总增 15%"
"Deathmarked","死亡印记"
"Defences from Equipped Body Armour are doubled if it has no Socketed Gems","若装备的胸甲没有镶嵌宝石，其防御翻倍"
"Defy Pain","苦痛劫掠"
"Demolitions Specialist","爆破天才"
"Detect Evil","追缉邪恶"
"Determined Survivor","坚毅求存"
"Divine Guidance","神圣指引"
"Duelist Ascendancy","决斗者升华职业"
"Effects of Consecrated Ground you create Linger for 4 seconds","你产生的奉献地面效果延续 4 秒"
"Elemental Damage you Deal with Hits is Resisted by lowest Elemental Resistance instead","你的击中造成的元素伤害由最低的抗性来抵抗"
"Endless Hunger","无尽饥饿"
"Endless Munitions","无限弹药"
"Enduring Suffusion","持久弥散"
"Enemies Chilled by your Hits lessen their Damage dealt by half of Chill Effect","被你击中而冰缓的敌人造成的伤害降低，效果相当于冰缓效果的一半"
"Enemies Ignited by you have 40% of Physical Damage they deal converted to Fire","被你点燃的敌人将它们物理伤害的 40% 转化为火焰伤害"
"Enemies near corpses you Spawned Recently are Chilled and Shocked","敌人若位于你近期所生成的灵柩周围，则使其受到冰缓和感电"
"Enemies Taunted by you cannot Evade Attacks","被你嘲讽的敌人无法闪避攻击"
"Enemies Taunted by you take 15% increased Damage","被你嘲讽的敌人受到的伤害提高 15%"
"Enemies you Freeze remain Frozen for at least 2 seconds","被你冻结的敌人至少维持冻结状态 2 秒"
"Enemies you or your Totems Kill have 10% chance to Explode, dealing 250% of their maximum Life as Fire Damage","被你或你的图腾击败的敌人有 10% 的几率爆炸，造成其生命上限 250% 的火焰伤害"
"Energy Shield Leech effects are not removed when Energy Shield is Filled","能量护盾充满时，能量护盾偷取效果不会被移除"
"Escape Artist","逃脱艺术"
"Essence Glutton","精华吞噬"
"Every 10 seconds:\nTake 50% less Damage from Hits for 5 seconds\nTake 50% less Damage over Time for 5 seconds","每10秒：\n受到的击中伤害总降 50% ，持续 5 秒\n5 秒后受到的持续伤害总降 50% ，持续5秒"
"Every 4 seconds, 50% chance to Freeze nearby Non-Frozen Enemies for 0.4 seconds","每隔 4 秒，有 50% 的几率使周围未冻结的敌人冻结 0.4 秒"
"Every 4 seconds, Regenerate 100% of Life over one second","每隔 4 秒便在一秒内再生 100% 生命"
"Every 4 seconds, remove Curses and Ailments from you","每 4 秒移除你身上的诅咒和异常状态"
"Every Rage also grants 1% increased Attack Speed","每一点怒火还会使攻击速度加快 1%"
"Every second, inflict Withered on nearby Enemies for 15 seconds","每秒对周围敌人造成死亡凋零，持续 15 秒"
"Experienced Herbalist","资深草药师"
"Exposure you inflict applies an extra -25% to the affected Resistance","你施加的曝露效果会使受影响的抗性额外 -25%"
"Far Shot","狙击"
"Fatal Flourish","致命绽放"
"Final Repeat of Attack Skills deals 60% more Damage","攻击技能的最后一次重复造成的伤害总增 60%"
"First to Strike, Last to Fall","嗜战如命"
"Flasks gain 3 Charges every 3 seconds","药剂每 3 秒获得 3 次充能"
"Focal Point","聚焦点"
"For each nearby corpse, you and nearby Allies deal 1% more Damage, up to a maximum of 10%","周围每个灵柩使你和周围友军造成的伤害总增 1%，最多 10%"
"For each nearby corpse, you and nearby Allies Regenerate 0.2% of Energy Shield per second, up to 2.0% per second","周围每个灵柩使你和周围友军每秒再生 0.2% 能量护盾，每秒最多 2.0%"
"For each nearby corpse, you and nearby Allies Regenerate 5 Mana\nper second, up to 50 per second","周围每个灵柩使你和周围友军每秒再生 5 魔力，每秒最多 50"
"Forbidden Power","禁忌力量"
"Fortitude","坚毅"
"Frigid Wake","彻骨之径"
"Fury of Nature","自然之怒"
"Gain 1 Fanatic Charge every second if you've Attacked in the past second","抵达狂热球数量上限时，获得 5 秒欣喜若狂效果"
"Gain 1 Gale Force when you use a Skill\n10% increased Effect of Tailwind on you per Gale Force","你使用技能时获得 1 个飓风之力\n每个飓风之力使你身上的提速尾流效果提高 10%"
"Gain 1 Unbound Fury when you inflict an Elemental Ailment with a Hit on an Enemy, no more than once every 0.2 seconds for each type of Ailment\nCannot gain Unbound Fury while Unbound","击中对敌人造成元素异常状态时，获得 1 点不羁狂怒，每种异常状态类型每 0.2 秒只能触发一次\n不羁期间无法获得不羁狂怒"
"Gain 10% increased Attack Speed for 20 seconds when you Kill a Rare or Unique Enemy","击败稀有或者传奇敌人使攻击速度加快 10%，持续 20 秒"
"Gain 10% increased Movement Speed for 20 seconds when you Kill an Enemy","击败敌人使移动速度加快 10%，持续 20 秒"
"Gain 10% of Physical Damage as Extra Lightning Damage for each of your Hallowing Flames that have been removed by an allied hit recently, up to 80%","近期内你施加的崇敬烈焰每被友方击中移除 1 层，\n便获得等同于物理伤害 10% 的额外闪电伤害，最多 80%"
"Gain 20% of Maximum Mana as Extra Maximum Energy Shield","获得等同 20% 魔力的额外能量护盾"
"Gain 3% of Missing Unreserved Life before being Hit by an Enemy Per Defiance","每层抗争使你在被敌人击中前获得已损失未保留生命的 3%"
"Gain 40% Chance to Block from Equipped Shield instead of the Shield's value","装备盾牌的格挡几率为 40%，不使用盾牌的数值"
"Gain 50% Chance to Block from Equipped Shield instead of the Shield's value","装备盾牌的格挡几率为 50%，不使用盾牌的数值"
"Gain a Frenzy Charge every 3 seconds while Moving","移动时每 3 秒获得一个狂怒球"
"Gain a Power Charge after Spending a total of 200 Mana","暴击球数量上限 +1"
"Gain a random Shrine buff every 10 seconds","每 10 秒获得一个随机神龛增益"
"Gain Accuracy Rating equal to twice your Strength","获得等同于力量 2 倍的命中值"
"Gain Adrenaline for 20 seconds when you reach Low Life","在你处于濒死状态时获得肾上腺素20秒"
"Gain Arcane Surge after Spending a total of 200 Mana","总共消耗 200 点魔力后获得秘术增强"
"Gain Arcane Surge when you or your Totems Hit an Enemy with a Spell","当你或你的图腾使用法术击中 1 名敌人，便获得秘术增强效果"
"Gain Convergence when you Hit a Unique Enemy, no more than once every 8 seconds","你击中传奇敌人时获得汇聚效果，每 8 秒触发一次"
"Gain Defiance for 10 seconds on losing Life to an Enemy Hit, no\nmore than once every 0.3 seconds","敌方的击中导致你失去生命时，获得 10 秒抗争效果，每 0.3 秒发生一次"
"Gain Elusive on Critical Strike","暴击获得灵巧"
"Gain Fanaticism for 5 seconds on reaching Maximum Fanatic Charges","若你上一秒发动过攻击，则每秒获得 1 个狂热球"
"Gain Spirit Infusion every 0.5 seconds while Channelling a Spell","引导法术时每 0.5 秒获得灵魂灌注"
"Gathering Winds","聚风"
"Gore Dancer","伤痕舞者"
"Grant bonuses to Non-Channelling Skills you use by consuming 3 Charges from a Flask of\neach of the following types, if possible:","从以下可用类型的药剂中各\n消耗 3 充能次数，为非吟唱技能提供加成："
"Grants 2 Passive Skill Points","赋予 2 天赋点数"
"Grants Armour equal to 25% of your Reserved Mana to you and nearby Allies","给予你和周围友军相当于你 25% 保留魔力的护甲"
"Grants Level 20 Barkskin Skill","获得 20 级树皮御体技能"
"Grants Level 20 Summon Sentinel of Radiance Skill","获得 20 级的主动技能召唤光辉哨兵"
"Grants Level 20 Unbound Avatar Skill","获得 20 级不羁化身技能"
"Grants maximum Energy Shield equal to 10% of your Reserved Mana to\nyou and nearby Allies","给予你和周围友军等同你 10% 魔力保留的额外能量护盾"
"Gratuitous Violence","免费力量"
"Harmony of Purpose","和谐之源"
"Harness the Void","虚空掌控"
"Having a placed Banner does not prevent you gaining Valour","放置旗帜不会阻止你获得胆魄"
"Headsman","刽子手"
"Heart of Destruction","毁灭之心"
"Heartstopper","凝心者"
"Hinekora, Death's Fury","死之狂怒.辛格拉"
"Hits always Ignite","你的击中始终具有点燃效果"
"Hits always Shock","你的击中始终具有感电效果"
"Hits have 30% chance to deal 50% more Area Damage","击中有 30% 的几率造成总增 50% 的范围伤害"
"Hits that fail to Freeze due to insufficient Freeze Duration inflict Hoarfrost","冻结时间不足而未能造成冻结的击中会造成白霜"
"Hits that would Ignite instead Scorch","击中造成的点燃改为造成烧灼"
"If Amethyst Flask Charges are consumed, 37% of Physical Damage as Extra Chaos Damage","如果消耗紫晶药剂充能次数，造成相当于物理伤害 37% 的额外混沌伤害"
"If Bismuth Flask Charges are consumed, Penetrate 25% Elemental Resistances","如果消耗灰岩药剂充能次数，穿透 25% 的元素抗性"
"If Diamond Flask Charges are consumed, 250% increased Critical Strike Chance","如果消耗宝钻药剂充能次数，暴击几率提高 250%"
"If you've Attacked Recently, you and nearby Allies have +15% Chance to Block Attack Damage","若你近期内有进行攻击，你和周围友军攻击伤害格挡几率 +15%"
"If you've Attacked Recently, you and nearby Allies have +25% Chance to Block Attack Damage","若你近期内有进行攻击，你和周围友军攻击伤害格挡几率 +25%"
"If you've Cast a Spell Recently, you and nearby Allies have +15% Chance to Block Spell Damage","若你近期内有释放法术，你和周围友军法术伤害格挡几率 +15%"
"If you've Cast a Spell Recently, you and nearby Allies have +25% Chance to Block Spell Damage","若你近期内有释放法术，你和周围友军法术伤害格挡几率 +25%"
"If you've Consumed a corpse Recently, you and your Minions have 30% increased Area of Effect","若你近期内有吞噬 1 个灵柩，你和你的召唤生物的效果区域提高 30%"
"If you've Impaled an Enemy Recently, you\nand nearby Allies have +1000 to Armour","若你近期内穿刺过敌人，你和周围友军获得护甲 +1000"
"Illuminated Devotion","无上奉献"
"Immune to Ignite and Shock","免疫点燃和感电"
"Impact","影响"
"Impale Damage dealt to Enemies Impaled by you ignores Enemy Physical Damage Reduction","对被你穿刺的敌人造成的穿刺伤害忽略敌人的物理伤害减免"
"Indomitable Resolve","不屈坚毅"
"Inevitable Judgement","命运审判"
"Inflict Hallowing Flame on Melee Hit","近战击中时施加崇敬烈焰"
"Infused Toxins","灌注毒素"
"Inherent Bonuses from Dual Wielding are doubled","双持的固有加成翻倍"
"Inherent Rage Loss starts 2 seconds later","固有的怒火损失延迟 2 秒开始"
"Inspirational","启发"
"Instruments of Justice","公正之仪"
"Instruments of Virtue","美德之器"
"Instruments of Zeal","狂热之器"
"Intensifying Suffusion","增幅弥散"
"Jagged Technique","锯刃战技"
"Kill Enemies that have 20% or lower Life when Hit by your Skills","血量低于 20% 的敌人被你的技能击中时，会直接被终结"
"Lesson of the Seasons","四季之训"
"Liege of the Primordial","原始之君"
"Life Flask Effects are not removed when Unreserved Life is Filled\nLife Flask Effects do not Queue","未保留的生命全满时不移除生命药剂效果\n生命药剂效果不能堆叠"
"Life Leech effects are not removed when Unreserved Life is Filled","未保留的生命全满时不会移除生命偷取效果"
"Like Clockwork","发条狂人"
"Lose 0.1% of Life per second per Rage while you are not losing Rage","不损失怒火时，每一点怒火就会每秒失去 0.1% 生命"
"Lose 1 Bark when Hit by Enemy Spell Damage","受到敌人的法术击中伤害时失去 1 层树皮御体"
"Lose all Defiance when you reach 10 Defiance","抗争达到 10 层时失去所有抗争"
"Lose all Fanatic Charges on reaching Maximum Fanatic Charges","抵达狂热球数量上限时失去所有狂热球"
"Lose all Gale Force when Hit","被击中时失去所有飓风之力"
"Magic Utility Flasks applied to you have 20% increased Effect","对你施用的魔法功能药剂效果提高 20%"
"Magic Utility Flasks applied to you have 30% increased Effect","对你施用的魔法功能药剂效果提高 30%"
"Marauder Ascendancy","野蛮人升华职业"
"Mark Skills Cost no Mana","咒印技能不消耗魔力"
"Marshal of Divinity","神性统帅"
"Master Alchemist","炼金术大师"
"Master Distiller","蒸馏大师"
"Master of Metal","钢铁大师"
"Master Surgeon","手术大师"
"Master Toxicist","制毒宗师"
"Masterful Form","大师之形"
"Mastermind of Discord","混沌天才"
"Maximum Effect of Shock is 2% increased Damage taken","最大感电效果使受到的伤害提高 2%"
"Maximum Energy Shield is increased by Chance to Block Spell Damage","法术伤害格挡几率提高能量护盾上限"
"Measured Retaliation","慎重回敬"
"Mindless Aggression","盲目挑衅"
"Mines Hinder Enemies near them for 2 seconds when they Land","地雷落地时使周围敌人缓速 2 秒"
"Minions deal 10% more Damage","召唤生物造成的伤害总增 10%"
"Minions deal 8% more Damage","召唤生物造成的伤害总增 8%"
"Minions gain 40% of Maximum Life as Extra Maximum Energy Shield","召唤生物获得等同 40% 最大生命的额外能量护盾"
"Minions have 10% more Maximum Life","召唤生物的最大生命总值总增 10%"
"Minions have 20% more Maximum Life","召唤生物的最大生命总值总增 20%"
"Minions have Unholy Might","召唤生物拥有不洁之力"
"Mirage Archers are not attached to you","幻影弓手不会跟随于你"
"Mistress of Sacrifice","奉献女魔"
"Mistwalker","迷雾行者"
"Modifiers to Fire Resistance also apply to Cold and Lightning Resistances at 50% of their Value","火焰抗性修正的 50% 也作用于冰霜和闪电抗性"
"Modifiers to Maximum Fire Resistance also apply to Maximum Cold and Lightning Resistances","火焰抗性上限修正也作用于冰霜和闪电抗性上限"
"More Than Skill","天眷英豪"
"Mother's Teachings","母亲的教诲"
"Movement Speed cannot be modified to below Base Value","你的移动速度加成不会让你减速至基础速度以下"
"Mystical Infusion","神秘注入"
"Nature's Adrenaline","大自然的肾上腺素"
"Nature's Boon","自然的恩赐"
"Nature's Concoction","自然灵药"
"Nature's Reprisal","大自然的复仇"
"Nearby Allies count as having Fortification equal to yours","周围友军视作拥有与你相等的护体"
"Nearby Chilled Enemies deal 10% reduced Damage with Hits","周围被冰缓敌人打出的击中伤害降低 10%"
"Nearby Enemies are Blinded","周围敌人被致盲"
"Nearby Enemies are Chilled","周围敌人被冰缓"
"Nearby Enemies are Chilled and Shocked while you are near a corpse","当你的周围有灵柩时，周围敌人获得冰缓和感电"
"Nearby Enemies deal 8% less Elemental Damage","周围敌人造成的元素伤害总降 8%"
"Nearby Enemies have -20% to Chaos Resistance","周围敌人获得 -20% 混沌抗性"
"Nearby Enemies have -20% to Cold Resistance","周围敌人获得 -20% 冰霜抗性"
"Nearby Enemies have -30% to Critical Strike Multiplier","周围敌人的暴击伤害加成 -30%"
"Nearby Enemies have 10% reduced Cooldown Recovery Rate","附近敌人的冷却回复率降低 10%"
"Nearby Enemies have 100% reduced Life Regeneration rate","周围敌人的生命再生速度降低 100%"
"Nearby Enemies take 16% increased Elemental Damage","周围敌人受到的元素伤害提高 16%"
"Nearby Enemy Monsters have no Fire Resistance against\nDamage over Time while you are Stationary","静止时周围敌方怪物\n对持续伤害没有火焰抗性"
"Nearby Enemy Monsters' Action Speed is at most 90% of base value","附近敌方怪物的行动速度最多达到基础值的90%"
"Nearby Enemy Monsters' Fire Resistance against\nDamage over Time is -20% while you are Stationary","静止时周围敌方怪物\n对持续伤害的火焰抗性为 -20%"
"Nearby Hindered Enemies deal 15% reduced Damage over Time","周围被干扰的敌人的持续伤害降低 15%"
"Ngamahu, Flame's Advance","火徒.努葛玛呼"
"Nine Lives","九条命"
"Non-Critical Strikes Penetrate 10% of Enemy Elemental Resistances","非暴击伤害穿透敌人 10% 的元素抗性"
"Non-Damaging Ailments have 50% reduced Effect on you while you have Arcane Surge","你有秘术增强效果时，你身上的非伤害型异常状态效果降低 50%"
"Non-Damaging Elemental Ailments you inflict have 100% more Effect","你造成的非伤害性元素异常状态的效果总增 100%"
"Non-Unique Jewels cause Increases and Reductions to other Damage Types in a Large Radius to be Transformed to apply to Fire Damage","非传奇珠宝使大范围内其他伤害类型的提高和降低转换为作用于火焰伤害"
"Non-Unique Jewels cause Small and Notable Passive Skills in a Large Radius to\nalso grant +4 to Strength","非传奇珠宝使大范围内的小型和核心天赋\n同时提供 +4 力量"
"Oath of Spring","春日誓言"
"Oath of Summer","炎夏誓言"
"Oath of the Maji","众神之誓"
"Oath of Winter","凛冬誓言"
"Occupying Force","占领军"
"One Step Ahead","快人一步"
"Opportunistic","暗影"
"Other Aegis Skills are Disabled","禁用其它护盾技能"
"Overwhelm","镇压"
"Path of the Duelist","决斗者之道"
"Path of the Marauder","野蛮人之道"
"Path of the Ranger","游侠之道"
"Path of the Shadow","暗影之道"
"Path of the Templar","圣堂武僧之道"
"Path of the Witch","女巫之道"
"Perfect Crime","完美犯罪"
"Pious Path","廉简之途"
"Plaguebringer","疫病之源"
"Poison you inflict with Critical Strikes deals 20% more Damage","你暴击造成的中毒伤害总增 20%"
"Poisons you inflict during any Flask Effect have 20% chance to deal 100% more Damage","在药剂生效期间，你造成的中毒效果有 20% 的几率伤害总增 100%"
"Polymath","博学者"
"Prevent +15% of Suppressed Spell Damage while on Full Energy Shield","能量护盾全满状态下防止+15%的被压制法术伤害"
"Prevent +3% of Suppressed Spell Damage per Bark below maximum","低于上限的每层树皮御体使被压制的法术伤害阻挡量 +3%"
"Profane Bloom","秽言亡语"
"Projectile Barrages have no spread","投射物弹幕攻击不会扩散"
"Projectiles are fired in random directions","投射物朝随机方向发射"
"Projectiles gain Damage as they travel farther, dealing up\nto 30% more Damage with Hits and Ailments","投射物的伤害随穿越的距离而提高，\n造成的击中和异常状态伤害最多提高 30%"
"Projectiles have 30% chance to be able to Chain when colliding with terrain","投射物击中地形有 30% 的几率产生连锁效果"
"Projectiles have 50% chance to Return to you","投射物有 50% 的几率返回你身边"
"Pursuit of Faith","信念之诉"
"Pyromaniac","焚烧"
"Radiant Crusade","光芒圣战军"
"Radiant Faith","信念之辉"
"Ramako, Sun's Light","雷默科，太阳之光"
"Ranger Ascendancy","游侠升华职业"
"Rare and Unique Enemies within 120 metres have Minimap Icons","120 米内的稀有和传奇敌人显示小地图标记"
"Recoup Effects instead occur over 3 seconds","回收效果改为在3秒内生效"
"Recover 0.5% of Life per Poison affecting Enemies you Kill","你击败的敌人身上每层中毒效果，使你回复 0.5% 生命"
"Recover 1% of Energy Shield on Kill for each different type of Mastery you have Allocated","每配置一种不同类型的专精，击败敌人回复 1% 能量护盾"
"Recover 1% of Life on Kill for each different type of Mastery you have Allocated","每配置一种不同类型的专精，击败敌人回复 1% 生命"
"Recover 1% of Mana on Kill for each different type of Mastery you have Allocated","每配置一种不同类型的专精，击败敌人回复 1% 魔力"
"Recover 25% of Life when you gain Adrenaline","当你获得肾上腺素时回复 25% 生命"
"Regenerate 0.5% of Mana per second for each Summoned Totem","每个召唤的图腾使你每秒再生 0.5% 魔力"
"Regenerate 1% of Life per second for each Mine Detonated Recently, up to 10% per second","近期每个引爆的地雷使你每秒再生 1% 生命，最多 10%"
"Regenerate 1% of Life per Second for each Trap Triggered Recently, up to 10% per second","近期每个触发的陷阱使你每秒再生 1% 生命，最多 10%"
"Regenerate 1% of Mana per second","魔力每秒再生 1%"
"Regenerate 1% of Mana per second if you've inflicted Exposure Recently","近期造成曝露使你每秒再生 1% 魔力"
"Regenerate 100 Energy Shield per second","每秒再生 100 能量护盾"
"Regenerate 2% of Life per second for each Mine Detonated Recently, up to 10% per second","近期每个引爆的地雷使你每秒再生 2% 生命，最多 10%"
"Regenerate 2% of Life per Second for each Trap Triggered Recently, up to 10% per second","近期每个触发的陷阱使你每秒再生 2% 生命，最多 10%"
"Regenerate 4% of Mana over 2 seconds when you Consume a corpse","每消耗一个灵柩使你在 2 秒内再生 4% 魔力"
"Regenerate 8% of Energy Shield over 2 seconds when you Consume a corpse","每消耗一个灵柩使你在 2 秒内再生 8% 能量护盾"
"Remove all Ailments and Burning when you gain Adrenaline","你获得肾上腺素时移除所有异常状态和燃烧状态"
"Removes Elemental Ailments when you use a Flask","药剂持续期间，驱散元素异常状态"
"Retaliation Skills become Usable for an additional 2 seconds","反击技能的可使用时间额外延长 2 秒"
"Ricochet","弹射"
"Righteous Providence","正义之庭"
"Rite of Ruin","毁灭仪式"
"Ritual of Awakening","升华仪式"
"Sanctuary","至圣所"
"Sanctuary of Thought","意识圣殿"
"Searing Purity","炽热净化"
"Seasoned Hunter","资深猎手"
"Shadow Ascendancy","暗影升华职业"
"Shadowed Blood","暗影之血"
"Shaper of Flames","火焰塑形"
"Shaper of Storms","风暴塑形"
"Shaper of Winter","寒冬塑形"
"Shocks from your Hits always increase Damage taken by at least 10%","你击中造成的感电效果始终使受到的伤害提高至少 10%"
"Shocks from your Hits always increase Damage taken by at least 25%","你击中造成的感电效果始终使受到的伤害提高至少 25%"
"Shrapnel Specialist","破片专家"
"Sign of Purpose","目的标识"
"Sione, Sun's Roar","西奥妮，太阳之啸"
"Skills Chain +1 times","技能可以连锁弹射 +1 次"
"Skills fire 2 additional Projectiles","技能会发射 2 枚额外投射物"
"Skills from Equipped Body Armour are Supported by Level 1 Fist of War","装备身体护甲的技能受 1 级的战争铁拳辅助"
"Skills from Equipped Body Armour are Supported by Level 20 Ancestral Call","装备身体护甲的技能受 20 级先祖召唤辅助"
"Skills from Equipped Body Armour are Supported by Level 20 Fist of War","装备身体护甲的技能受 20 级的战争铁拳辅助"
"Skills from Equipped Body Armour are Supported by Level 30 Ancestral Call","装备身体护甲的技能受 30 级先祖召唤辅助"
"Skills used by Traps have 50% increased Area of Effect","陷阱所使用的技能范围扩大 50%"
"Soul Drinker","灵魂饮者"
"Spell Critical Strike Chance Bifurcates","法术暴击几率分岔"
"Spellbreaker","破魔者"
"Strike Skills also target the previous location they were used","打击技能同时将其之前攻击的地点设为目标"
"Summoned Golems are Immune to Elemental Damage","召唤的魔像免疫元素伤害"
"Summoned Golems are Resummoned 4 seconds after being Killed","召唤的魔像被击败 4 秒后会被重新召唤"
"Swift Killer","敏捷克星"
"Take 25% less Damage","受到的伤害总降 25%"
"Tasalio, Cleansing Water","塔赛里奥，纯净之水"
"Taunt on Hit","击中时嘲讽敌人"
"Templar Ascendancy","圣堂武僧升华职业"
"Time of Need","紧急时刻"
"Tincture Effects also apply to Ranged Weapons","酊剂效果也能对远程武器生效"
"Tincture Effects Linger on you for 0.5 seconds per Mana Burn on you when the Tincture was deactivated, up to a maximum of 6 seconds","酊剂失效后，每层魔力燃烧使其效果在你身上持续 0.5 秒，最多 6 秒"
"Tinctures applied to you have 30% less Mana Burn rate","对你生效的酊剂的魔力燃烧速度总降 30%"
"Tinctures applied to you have 75% increased Effect per empty Flask Slot","每个空的药水栏位使对你生效的酊剂效果提高 75%"
"Toxic Delivery","毒物私运"
"Transfiguration of Mind","心灵幻化"
"Trigger Level 30 Assassin's Mark on Attack Critical Strike against\na Rare or Unique Enemy and you have no Mark","当你没有咒印且对稀有或传奇敌人造成攻击暴击时\n触发 30 级刺客印记"
"Triggers Level 20 Primal Aegis when Allocated\nPrimal Aegis can take 75 Elemental Damage per Allocated Notable Passive Skill","配置时触发 20 级原能护盾\n每个配置的核心天赋都使原能护盾可以承受 75 点元素伤害"
"Triggers Level 20 Summon Triggerbots when Allocated","分配时触发 20 级召唤触发机器人"
"Tukohama, War's Herald","战争使者.图克哈玛"
"Unaffected by Damaging Ailments","不受伤害异常状态影响"
"Unaffected by Ignite","不受点燃影响"
"Unbreakable","坚不可破"
"Undeniable","不可置疑"
"Unflinching","永不动摇"
"Unhallowed Rite","恶毒牢房"
"Unholy Authority","邪恶君王"
"Unnatural Strength","亵渎之力"
"Unrelenting","灭无赦"
"Unstable Infusion","不稳定化身"
"Unstoppable","势不可挡"
"Unstoppable Hero","不败英雄"
"Untiring","不知疲倦"
"Unwavering Crusade","坚毅圣战军"
"Unwavering Faith","不动信念"
"Unyielding","屹立不摇"
"Valako, Storm's Embrace","瓦拉克，风暴之拥"
"Vile Bastion","残劣壁垒"
"Void Beacon","虚无之塔"
"War Bringer","战争使者"
"War of Attrition","持久鏖战"
"Warcries Exert twice as many Attacks","战吼增助的攻击次数翻倍"
"Warcries have infinite Power","战吼的威力值无限"
"Weapon Master","武器大师"
"When you kill a Poisoned Enemy during any Flask Effect, Enemies within 1.5 metres are Poisoned","在任意药剂生效期间击杀中毒的敌人时，1.5 米内的敌人陷入中毒"
"When you leave your Banner's Area, recover 30% of the Valour consumed for that Banner","当你离开自己的旗帜范围时，恢复该旗帜消耗胆魄的 30%"
"When your Traps Trigger, your nearby Traps also Trigger","当你的陷阱触发时，你周围的陷阱也跟着触发"
"Wildwood Blessing","荒林祝福"
"Wind Ward","风之结界"
"Witch Ascendancy","女巫升华职业"
"With at least one nearby corpse, nearby Enemies deal 10% reduced Damage","当周围有至少 1 个灵柩，周围敌人的伤害降低 10%"
"With at least one nearby corpse, you and nearby Allies deal 10% more Damage","当周围有至少 1 个灵柩，你与周围友军的伤害总增 10%"
"Withering Presence","凋零姿态"
"Worthy Causes","可敬的大业"
"Worthy Foe","可敬的对手"
"You and Allies near your Banner Regenerate 0.1% of Life per second for each Valour consumed for that Banner","旗帜每消耗一点胆魄，你和旗帜周围的友军每秒再生 0.1% 的生命"
"You and nearby Allies deal 30% increased Damage","你和周围友军的伤害提高 30%"
"You and nearby Allies deal 6 to 12 added Physical Damage for\neach Impale on Enemy","敌人身上每有一个穿刺效果，你和周围友军的攻击便额外造成 6 - 12 附加物理伤害"
"You and nearby Allies have +20% to Elemental Resistances","你和周围友军的元素抗性 +20%"
"You and nearby Allies have +30% to Elemental Resistances","你和周围友军的元素抗性 +30%"
"You and nearby Allies have Tailwind","你和周围友军具有提速尾流效果"
"You and your Totems Regenerate 1% of Life per second for each Summoned Totem","每个召唤的图腾使你和你的图腾每秒再生 1% 生命"
"You are Unaffected by Bleeding while Leeching","偷取时不受流血影响"
"You can apply an additional Curse","你能施加一个额外诅咒"
"You can apply up to 50 Shocks to each Enemy","你可以对每个敌人施加最多 50 次感电"
"You can have an additional Tincture active","你可以额外激活一种酊剂"
"You can inflict an additional Scorch on each Enemy","你可以对敌人额外施加一层烧灼"
"You have 15 Fortification","你有 15 层护体"
"You have Consecrated Ground around you while stationary","站定时，脚下产生奉献地面"
"You have your maximum Fortification","你具有最大护体层数"
"You take no Extra Damage from Critical Strikes while Elusive","灵巧效果下，不会受到暴击造成的额外伤害"
"Your Action Speed is at least 90% of base value","你的行动速度至少是基础值的90%"
"Your Chills can reduce Action Speed by up to a maximum of 40%","你的冰缓效果可以降低行动速度，最多降低 40%"
"Your Critical Strike Chance is Lucky","幸运的暴击率"
"Your Hexes can affect Hexproof Enemies","你的魔蛊可以影响无咒的敌人"
"Your Hits against Marked Enemy cannot be Blocked or Suppressed","你对被标记敌人的击中无法被格挡或压制"
"Your Hits always inflict Freeze, Shock and Ignite while Unbound","不羁期间，你的击中始终造成冻结、感电和点燃"
"Your Hits permanently Intimidate Enemies that are on Full Life","击中满血敌人时，将使他们永久受到威吓"
"Your Mark Transfers to another Enemy when Marked Enemy dies","被标记的敌人被击败后，你的印记转移给另一个敌人"
"Your Maximum Endurance Charges is equal to your Maximum Frenzy Charges","你的耐力球数量上限等于你的狂怒球数量上限"
"Your Offering Skills also affect you","你的奉献技能会同时影响你"
"Your Offerings have 50% reduced Effect on you","你的奉献技能对自身的效果降低 50%"
